lulcCode,lulcComposition_forest,lulcComposition_shrub,lulcComposition_crop,lulcComposition_lawn,lulcComposition_imp,impBreakdownFrac_roof,impBreakdownFrac_driveway,impBreakdownFrac_pavedRoad,waterFrac,noData
0,0,0,0,0.01,0,0,0,0,0.99,1
5,0,0,0,0.01,0,0,0,0,0.99,0
10,0,0,1,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0
20,0,0,1,0,0,0,0,0,0,0
51,1,0,0,0,0,0,0,0,0,0
52,1,0,0,0,0,0,0,0,0,0
61,1,0,0,0,0,0,0,0,0,0
62,1,0,0,0,0,0,0,0,0,0
71,1,0,0,0,0,0,0,0,0,0
72,1,0,0,0,0,0,0,0,0,0
81,1,0,0,0,0,0,0,0,0,0
91,1,0,0,0,0,0,0,0,0,0
95,0,0,0,0.01,0.198,0,0,0.198,0.792,0
120,0,1,0,0,0,0,0,0,0,0
121,0,1,0,0,0,0,0,0,0,0
122,0,1,0,0,0,0,0,0,0,0
130,0,0,0,1,0,0,0,0,0,0
140,0,0,0,1,0,0,0,0,0,0
150,0,1,0,0,0,0,0,0,0,0
181,1,0,0,0,0,0,0,0,0,0
182,0,0,0,1,0,0,0,0,0,0
183,0,0,0,1,0,0,0,0,0,0
190,0,0,0,0.01,0.99,0.99,0,0,0,0
200,0,0,1,0,0,0,0,0,0,0
210,0,0,1,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,1
910,0,0,0.8,0,0.2,0,0,0.2,0,0
911,0,0,0.8,0,0.2,0,0,0.2,0,0
920,0,0,0.8,0,0.2,0,0,0.2,0,0
952,0.8,0,0,0,0.2,0,0,0.2,0,0
961,0.8,0,0,0,0.2,0,0,0.2,0,0
962,0.8,0,0,0,0.2,0,0,0.2,0,0
971,0.8,0,0,0,0.2,0,0,0.2,0,0
972,0.8,0,0,0,0.2,0,0,0.2,0,0
9120,0,0.8,0,0,0.2,0,0,0.2,0,0
9121,0,0.8,0,0,0.2,0,0,0.2,0,0
9130,0,0,0,0.8,0.2,0,0,0.2,0,0
9190,0,0,0,0.008,0.992,0.99,0,0.002,0,0
9200,0,0,0.8,0,0.2,0,0,0.2,0,0
