parameter,evergreen_broadleaf,deciduous_broadleaf,evergreen_needleleaf_conifer,local_deciduous_broadleaf,evergreen_broadleaf_Rhododendron,grass,shrub,evergreen_broadleaf (Schima/Quercus) | citation_short,deciduous_broadleaf (Sal) | citation_short,evergreen_needleleaf_conifer (Chir pine) | citation_short,local_deciduous_broadleaf | citation_short,evergreen_broadleaf_ericaceous (Rhododendron) | citation_short,grass | citation_short,shrub | citation_short
stratum_default_ID,1,2,807,402,802,3,6,,,,,,White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.veg.type,TREE,TREE,TREE,TREE,TREE,GRASS,TREE,,,,,,White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
K_absorptance,0.8,0.8,0.8,0.8,0.8,0.65,0.5,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
K_reflectance,0.15,0.15,0.15,0.15,0.15,0.25,0.31,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
K_transmittance,0.05,0.05,0.05,0.05,0.05,0.1,0.22,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
PAR_absorptance,0.9,0.9,0.9,0.9,0.9,0.4,1,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
PAR_reflectance,0.08,0.08,0.08,0.08,0.08,0,0,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
PAR_transmittance,0.02,0.02,0.02,0.02,0.02,0.6,0,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.ext_coef,0.5,0.5,0.5,0.5,0.5,0.48,0.55,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
specific_rain_capacity,0.0003,0.0003,0.0003,0.0003,0.0003,0.001,0.0005,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
