lulcCode,lulcComposition_forest,lulcComposition_shrub,lulcComposition_crop,lulcComposition_lawn,lulcComposition_imp,impBreakdownFrac_roof,impBreakdownFrac_driveway,impBreakdownFrac_pavedRoad,waterFrac,noData
10,0,0,1,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,0
12,0.45,0.55,0,0,0,0,0,0,0,0
20,0,0,1,0,0,0,0,0,0,0
52,1,0,0,0,0,0,0,0,0,0
61,1,0,0,0,0,0,0,0,0,0
62,1,0,0,0,0,0,0,0,0,0
71,1,0,0,0,0,0,0,0,0,0
72,1,0,0,0,0,0,0,0,0,0
120,0,1,0,0,0,0,0,0,0,0
121,0,1,0,0,0,0,0,0,0,0
130,0,0,1,0,0,0,0,0,0,0
190,0,0,0,0,1,0.3,0.4,0.3,0,0
200,0,0,1,0,0,0,0,0,0,0
